Seed,Wrestler,School,Abbr,Weight (lbs),Record,,2025 NCAA Division I Wrestling Championships
1,Luke Lilledahl,Penn State,PSU,125,25-3,,"March 20-22, 2025 | Wells Fargo Center, Philadelphia"
2,Matt Ramos,Purdue,PUR,125,31-3,,Team Champion: Penn State (177 pts) | 330 Total Competitors
3,Eddie Ventresca,Virginia Tech,VT,125,22-5,,
4,Vincent Robinson,NC State,NCST,125,22-3,,
5,Richard Figueroa,Arizona State,ASU,125,17-4,,
6,Jett Strickenberger,West Virginia,WVU,125,19-8,,
7,Troy Spratley,Oklahoma State,OKST,125,24-4,,
8,Sheldon Seymour,Lehigh,LEH,125,22-6,,
9,Caleb Smith,Nebraska,NEB,125,24-7,,
10,Stevo Poulin,Northern Colorado,UNCO,125,,,
11,Nicolar Rivera,Wisconsin,WIS,125,,,
12,Dean Peterson,Rutgers,RUT,125,22-8,,
13,Marc-Anthony McGowan,Princeton,PRIN,125,16-4,,
14,Spencer Moore,North Carolina,UNC,125,18-9,,
15,Maximo Renteria,Oregon State,ORST,125,,,
16,Blake West,Northern Illinois,NIU,125,24-7,,
17,Max Gallagher,Penn,PENN,125,26-10,,
18,Caleb Weiand,Michigan State,MSU,125,,,
19,Cooper Flynn,Minnesota,MINN,125,16-8,,
20,Brendan McCrone,Ohio State,OHST,125,22-11,,
21,Antonio Lorenzo,Oklahoma,OKLA,125,19-11,,
22,Jore Volk,Wyoming,WYO,125,,,
23,Tanner Jordan,South Dakota State,SDSU,125,,,
24,Nick Babin,Pittsburgh,PITT,125,13-11,,
25,Charlie Farmer,Army,ARMY,125,23-10,,
26,Keyveon Roller,Virginia,UVA,125,,,
27,Tristan Daugherty,Binghamton,BING,125,,,
28,Koda Holeman,Cal Poly,POLY,125,19-13,,
29,Joey Cruz,Iowa,IOWA,125,14-14,,
30,Gylon Sims,The Citadel,CIT,125,25-9,,
31,Richard Castro-Sandoval,CSU Bakersfield,CSUB,125,,,
32,Marcello Milani,Cornell,COR,125,17-13,,
33,Kal Miller,Maryland,MD,125,,,
1,Lucas Byrd,Illinois,ILL,133,22-1,,
2,Drake Ayala,Iowa,IOWA,133,,,
3,Nasir Bailey,Little Rock,UALR,133,23-5,,
4,Zeth Romney,Cal Poly,POLY,133,19-5,,
5,Dominick Serrano,Northern Colorado,UNCO,133,22-4,,
6,Connor McGonagle,Virginia Tech,VT,133,19-4,,
7,Nic Bouzakis,Ohio State,OHST,133,,,
8,Braeden Davis,Penn State,PSU,133,17-7,,
9,Braxton Brown,Maryland,MD,133,24-6,,
10,Dylan Shawver,Rutgers,RUT,133,,,
11,Evan Frost,Iowa State,ISU,133,,,
12,Ethan Oakley,North Carolina,UNC,133,22-7,,
13,Tyler Knox,Stanford,STAN,133,28-9,,
14,Zan Fugitt,Wisconsin,WIS,133,24-9,,
15,Anthony Noto,Lock Haven,LHU,133,,,
16,Ryan Miller,Penn,PENN,133,23-8,,
17,Jacob Van Dee,Nebraska,NEB,133,19-11,,
18,Julian Farber,Northern Iowa,UNI,133,,,
19,Takeo Davis,George Washington,GW,133,25-8,,
20,Blake Boarman,Chattanooga,CHAT,133,21-8,,
21,Angelo Rini,Indiana,IND,133,22-11,,
22,Tyler Wells,Minnesota,MINN,133,,,
23,Sam Latona,Virginia Tech,VT,133,,,
24,Kyle Burwick,North Dakota State,NDSU,133,25-13,,
25,Kurt Phipps,Ohio State,OHST,133,23-10,,
26,Kai Orine,Michigan,MICH,133,,,
27,Dylan Chappell,Bucknell,BUCK,133,22-12,,
28,Colton Camacho,Edinboro,EDIN,133,29-14,,
29,Tyler Ferrara,Cornell,COR,133,13-7,,
30,Derrick Cardinal,South Dakota State,SDSU,133,21-16,,
31,Kade Moore,Missouri,MIZ,133,,,
32,Hunter Leake,CSU Bakersfield,CSUB,133,10-Jul,,
33,Sam Herring,Army,ARMY,133,,,
1,Brock Hardy,Nebraska,NEB,141,27-4,,
2,Beau Bartlett,Penn State,PSU,141,,,
3,Jesse Mendez,Ohio State,OHST,141,30-3,,
4,Josh Koderhandt,Navy,NAVY,141,27-6,,
5,Cael Happel,Northern Iowa,UNI,141,28-5,,
6,Vance VomBaur,Minnesota,MINN,141,26-7,,
7,Tagen Jamison,Oklahoma State,OKST,141,23-6,,
8,Andrew Alirez,Northern Colorado,UNCO,141,,,
9,Jacob Frost,Iowa State,ISU,141,34-9,,
10,CJ Composto,Penn,PENN,141,27-4,,
11,Dylan Cedeno,Virginia,UVA,141,,,
12,Sam Latona,Virginia Tech,VT,141,,,
13,Joseph Olivieri,Rutgers,RUT,141,21-11,,
14,Sergio Lemley,Michigan,MICH,141,23-11,,
15,Wyatt Henson,Lock Haven,LHU,141,,,
16,Dylan Gilcher,Michigan State,MSU,141,,,
17,Henry Porter,Indiana,IND,141,,,
18,Gavin Brown,Army,ARMY,141,,,
19,Cole Mattin,Michigan,MICH,141,,,
20,Kellen Ekbom,Binghamton,BING,141,,,
21,Dylan Chappell,Bucknell,BUCK,141,,,
22,Jordan Soriano,Drexel,DREX,141,,,
23,Aaron Seidel,Northern Illinois,NIU,141,,,
24,Frankie Tal Shahar,Northwestern,NW,141,,,
25,Rayvon Foley,Michigan State,MSU,141,,,
26,Michael Gioffre,Cornell,COR,141,,,
27,Greyson Clark,Purdue,PUR,141,,,
28,Reece Witcraft,Oklahoma State,OKST,141,,,
29,Jason Kraisser,Columbia,COL,141,,,
30,Chance Rich,CSU Bakersfield,CSUB,141,,,
31,Bo Bassett,Princeton,PRIN,141,,,
32,Bradley Irwin,Oregon State,ORST,141,,,
33,Michael North,Maryland,MD,141,,,
1,Caleb Henson,Virginia Tech,VT,149,22-1,,
2,Ridge Lovett,Nebraska,NEB,149,25-2,,
3,Shayne Van Ness,Penn State,PSU,149,,,
4,Paniro Johnson,Iowa State,ISU,149,,,
5,Kyle Parco,Iowa,IOWA,149,,,
6,Kannon Webster,Illinois,ILL,149,16-8,,
7,Lachlan McNeil,North Carolina,UNC,149,25-7,,
8,Yahya Thomas,Northwestern,NW,149,,,
9,Chance Lamer,Michigan,MICH,149,,,
10,Ethan Stiles,Oregon State,ORST,149,19-8,,
11,Sammy Alvarez,Rider,RID,149,25-7,,
12,Cross Wasilewski,Cornell,COR,149,,,
13,Dylan D'Emilio,Ohio State,OHST,149,,,
