Weight Class,Seed,Name,School
125,1,Luke Lilledahl,Penn State
125,2,Eddie Ventresca,Virginia Tech
125,3,Nic Bouzakis,Ohio State
125,4,Sheldon Seymour,Lehigh
125,5,Troy Spratley,Oklahoma State
125,6,Jore Volk,Minnesota
125,7,Nico Provo,Stanford
125,8,Dean Peterson,Iowa
125,9,Maximo Renteria,Oregon State
125,10,Marc-Anthony McGowan,Princeton
125,11,Tyler Klinsky,Rider
125,12,Vincent Robinson,NC State
125,13,Stevo Poulin,Iowa State
125,14,Jacob Moran,Indiana
125,15,Koda Holeman,Cal Poly
125,16,Ezekiel Witt,North Dakota State
125,17,Jett Strickenberger,West Virginia
125,18,Spencer Moore,Illinois
125,19,Kysen Terukina,North Carolina
125,20,Diego Sotelo,Michigan
125,21,Conrad Hendriksen,Oklahoma
125,22,Davis Motyka,Penn
125,23,Nicolar Rivera,Wisconsin
125,24,Ayden Smith,Rutgers
125,25,Kael Lauridsen,Nebraska
125,26,Cooper Flynn,Chattanooga
125,27,Brady Roark,South Dakota State
125,28,Andrew Binni,Navy
125,29,Tyler Chappell,Pittsburgh
125,30,Sulayman Bah,Columbia
125,31,Desmond Pleasant,Drexel
125,32,Mack Mauger,Missouri
125,33,Jace Schafer,Bloomsburg
133,1,Jax Forrest,Oklahoma State
133,2,Ben Davino,Ohio State
133,3,Marcus Blaze,Penn State
133,4,Aaron Seidel,Virginia Tech
133,5,Kyler Larkin,Arizona State
133,6,Drake Ayala,Iowa
133,7,Lucas Byrd,Illinois
133,8,Markel Baker,Northern Illinois
133,9,Dominick Serrano,Northern Colorado
133,10,Maximilian Leete,American
133,11,Tyler Ferrara,Cornell
133,12,Evan Mougalian,Penn
133,13,Jacob Van Dee,Nebraska
133,14,Ethan Berginc,Army
133,15,Tyler Knox,Stanford
133,16,Zan Fugitt,Wisconsin
133,17,T.K. Davis,George Washington
133,18,Gunner Andrick,West Virginia
133,19,Gage Walker,Missouri
133,20,Julian Farber,Northern Iowa
