dual_id,conference,home,home_name,away,away_name,date,iso_week,status,confidence,probability,bouts
big-ten-001,big-ten,iowa,Iowa,michigan-state,Michigan State,,,tbd,official,scheduled,10
big-ten-002,big-ten,iowa,Iowa,nebraska,Nebraska,,,tbd,official,scheduled,10
big-ten-003,big-ten,iowa,Iowa,northwestern,Northwestern,,,tbd,official,scheduled,10
big-ten-004,big-ten,iowa,Iowa,ohio-state,Ohio State,,,tbd,official,scheduled,10
big-ten-005,big-ten,illinois,Illinois,iowa,Iowa,,,tbd,official,scheduled,10
big-ten-006,big-ten,penn-state,Penn State,iowa,Iowa,,,tbd,official,scheduled,10
big-ten-007,big-ten,rutgers,Rutgers,iowa,Iowa,,,tbd,official,scheduled,10
big-ten-008,big-ten,wisconsin,Wisconsin,iowa,Iowa,,,tbd,official,scheduled,10
big-ten-009,big-ten,minnesota,Minnesota,illinois,Illinois,,,tbd,official,scheduled,10
big-ten-010,big-ten,minnesota,Minnesota,maryland,Maryland,,,tbd,official,scheduled,10
big-ten-011,big-ten,minnesota,Minnesota,penn-state,Penn State,,,tbd,official,scheduled,10
big-ten-012,big-ten,minnesota,Minnesota,rutgers,Rutgers,,,tbd,official,scheduled,10
big-ten-013,big-ten,michigan,Michigan,minnesota,Minnesota,,,tbd,official,scheduled,10
big-ten-014,big-ten,nebraska,Nebraska,minnesota,Minnesota,,,tbd,official,scheduled,10
big-ten-015,big-ten,purdue,Purdue,minnesota,Minnesota,,,tbd,official,scheduled,10
big-ten-016,big-ten,wisconsin,Wisconsin,minnesota,Minnesota,,,tbd,official,scheduled,10
big-ten-017,big-ten,rutgers,Rutgers,indiana,Indiana,,,tbd,official,scheduled,10
big-ten-018,big-ten,rutgers,Rutgers,northwestern,Northwestern,,,tbd,official,scheduled,10
big-ten-019,big-ten,rutgers,Rutgers,penn-state,Penn State,,,tbd,official,scheduled,10
big-ten-020,big-ten,maryland,Maryland,rutgers,Rutgers,,,tbd,official,scheduled,10
big-ten-021,big-ten,nebraska,Nebraska,rutgers,Rutgers,,,tbd,official,scheduled,10
big-ten-022,big-ten,wisconsin,Wisconsin,rutgers,Rutgers,,,tbd,official,scheduled,10
big-ten-023,big-ten,penn-state,Penn State,maryland,Maryland,,,tbd,official,scheduled,10
big-ten-024,big-ten,penn-state,Penn State,michigan,Michigan,,,tbd,official,scheduled,10
big-ten-025,big-ten,penn-state,Penn State,wisconsin,Wisconsin,,,tbd,official,scheduled,10
big-ten-026,big-ten,michigan-state,Michigan State,penn-state,Penn State,,,tbd,official,scheduled,10
big-ten-027,big-ten,ohio-state,Ohio State,penn-state,Penn State,,,tbd,official,scheduled,10
big-ten-028,big-ten,northwestern,Northwestern,ohio-state,Ohio State,,,tbd,official,scheduled,10
big-ten-029,big-ten,northwestern,Northwestern,michigan-state,Michigan State,,,tbd,official,scheduled,10
big-ten-030,big-ten,northwestern,Northwestern,indiana,Indiana,,,tbd,official,scheduled,10
big-ten-031,big-ten,northwestern,Northwestern,purdue,Purdue,,,tbd,official,scheduled,10
big-ten-032,big-ten,illinois,Illinois,northwestern,Northwestern,,,tbd,official,scheduled,10
big-ten-033,big-ten,maryland,Maryland,northwestern,Northwestern,,,tbd,official,scheduled,10
big-ten-034,big-ten,maryland,Maryland,michigan-state,Michigan State,,,tbd,official,scheduled,10
big-ten-035,big-ten,maryland,Maryland,nebraska,Nebraska,,,tbd,official,scheduled,10
big-ten-036,big-ten,illinois,Illinois,maryland,Maryland,,,tbd,official,scheduled,10
big-ten-037,big-ten,purdue,Purdue,maryland,Maryland,,,tbd,official,scheduled,10
big-ten-038,big-ten,purdue,Purdue,indiana,Indiana,,,tbd,official,scheduled,10
big-ten-039,big-ten,purdue,Purdue,nebraska,Nebraska,,,tbd,official,scheduled,10
big-ten-040,big-ten,michigan,Michigan,purdue,Purdue,,,tbd,official,scheduled,10
big-ten-041,big-ten,michigan-state,Michigan State,purdue,Purdue,,,tbd,official,scheduled,10
big-ten-042,big-ten,ohio-state,Ohio State,purdue,Purdue,,,tbd,official,scheduled,10
big-ten-043,big-ten,michigan-state,Michigan State,michigan,Michigan,,,tbd,projected,scheduled,10
big-ten-044,big-ten,michigan-state,Michigan State,indiana,Indiana,,,tbd,projected,scheduled,10
big-ten-045,big-ten,ohio-state,Ohio State,michigan-state,Michigan State,,,tbd,projected,scheduled,10
big-ten-046,big-ten,illinois,Illinois,michigan,Michigan,,,tbd,projected,scheduled,10
big-ten-047,big-ten,indiana,Indiana,illinois,Illinois,,,tbd,projected,scheduled,10
big-ten-048,big-ten,nebraska,Nebraska,illinois,Illinois,,,tbd,projected,scheduled,10
big-ten-049,big-ten,ohio-state,Ohio State,illinois,Illinois,,,tbd,projected,scheduled,10
big-ten-050,big-ten,indiana,Indiana,michigan,Michigan,,,tbd,projected,scheduled,10
big-ten-051,big-ten,indiana,Indiana,ohio-state,Ohio State,,,tbd,projected,scheduled,10
big-ten-052,big-ten,indiana,Indiana,wisconsin,Wisconsin,,,tbd,projected,scheduled,10
big-ten-053,big-ten,michigan,Michigan,wisconsin,Wisconsin,,,tbd,projected,scheduled,10
big-ten-054,big-ten,michigan,Michigan,nebraska,Nebraska,,,tbd,projected,scheduled,10
big-ten-055,big-ten,nebraska,Nebraska,wisconsin,Wisconsin,,,tbd,projected,scheduled,10
big-ten-056,big-ten,wisconsin,Wisconsin,ohio-state,Ohio State,,,tbd,projected,scheduled,10
